unnamed:_0,unnamed:_1,unnamed:_2,sheet_name,source_file,document_type,order_no,count,date,supp_ref,supp_name,can_ord,item_code,item,description,quantity,ord_cost,grn_qty,grn_cost,inv_qty,return_qty
28,BOKAO AMAHLE HOLDINGS (PTY) LTD,27,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
29,KLERKSDORP RECORD,27,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
30,GREENFORD ENGINEERING CONSTRUCTION,26,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
31,KGAUWE FUNERAL UNDERTAKERS (KGAUWE TRANSPORTATION),26,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
32,DANYI TELECOMS CONVERGED COMMUNICATIONS (HYMAX),24,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
33,KWENDE CONSTRUCTION CC TA KWENDE ELECTRICAL SUPPL,24,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
34,TD MONARE HOLDINGS,24,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
35,DRAWING & OFFICE EQUIPMENT,23,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
36,KETHUTHULA HOLDINGS (PTY) LTD,23,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
37,RHUONE PROJECTS AND PLANT HIRE,23,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
38,K P DEVELOPMENTS (PTY) LTD,22,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
39,SUNDAY KIT UNIFORM SUPPLIES CC,22,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
40,CALDAH TRADING ENTERPRISE (PTY) LTD,21,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
41,REABETSWE BOPHELO TRADING ENTERPRISE,21,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
42,TSIKAKU HOLDINGS,21,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
43,N T K MINING SUPPLIERS,20,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
44,TSK RESOURCES,20,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
45,BOITUMELO PADI BUSINESS SOLUTIONS (PTY) LTD,19,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
46,RATANANG SUPPLIERS AND PROJECTS CC,19,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
47,BLAQ.M,18,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
48,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,18,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
49,VARIEGATED PTY LTD,18,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
50,T STEEL AND BUILDING PTY LTD,17,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
51,GLOBAL SOLUTIONS GROUP,15,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
52,GMHM CONSTRUCTIONS & PROJECT 47,15,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
53,MATLOSANA LANT HIRE,15,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
54,OLEORA SUPPLY AND PROJECTS (PTY) LTD,15,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
55,STAR MINING SUPPLIES,15,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
56,RONMAR OFFICE EQUIPMENT,14,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
57,MAFAESA TRADING ENTERPRISE,13,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
58,REATLIGILEOWARONA PROJECTS,13,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
59,SENNES GENERAL TRADING,13,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
60,HENOWS PROJECTS (PTY) LTD,12,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
61,KTMW TRADING,12,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
62,RULAGANYANG TRADING ENTERPRISE,12,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
63,WESTERN BAZAARS (PTY) LTD,12,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
64,BRAVURA TRADING (PTY)LTD,11,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
65,ELLATON MINING SUPPLIES & SIGNS (PTY) LTD,11,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
66,KAMOTSUMI INTERNET CAFE,11,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
67,BALENI CONTRACTORS (PTY) LTD,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
68,GLANLICIOUS TRADING ENTERPRISE,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
69,PRACTICON TRADING AND ENTERPRISE,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
70,SISA LUSA TRADING ENTERPRISES,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
71,VNPM CONSTRUCTION  CC,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
72,WE2 SONKE TRADING (PTY) LTD,10,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
73,CANOPY LAND_KLERKSDORP CC,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
74,GALEKILE QHENA TRADING,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
75,GLASS NORTH WEST,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
76,GOE TRADING,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
77,GOMOLEMO CONSTRUCTION AND PROJECTS (PTY) LTD,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
78,K.J STATIONERS,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
79,NTEMI TRADING ENTERPRISE,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
80,PHAKAMANI TRADER,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
81,RAUCO TRADING CC,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
82,RELEBOGELA BOTSHELO TRADING ENTERPRISE,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
83,ROSPA TRADING ENTERPRISE (PTY) LTD,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
84,SPHEKO PROJECT PTY LTD,9,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
85,AUTOMOTOR TRAFFIC SIGNAL CO (PTY) LTD,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
86,BOKANG KATLEGO TRADING AND PROJECTS,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
87,BOKGABANE AFRICA PROJECTS,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
88,ELECTRICIVIL TRADING (PTY) LTD,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
89,INCREDIBLEWILL,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
90,KATLEMBA (PTY) LTD,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
91,KLERKSDORP PANEL BEATERS & SPRAY PAINTERS,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
92,LEUNGO LA GAGO (PTY) LTD,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
93,MAPANE PROJECTS & ENTERPRISE (PTY) LTD,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
94,SERVICES FOR WATER AND SANITATION,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
95,TENACIOUS INNOVATORS,8,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
96,4TFIRED INVESTMENTS (PTY) LTD,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
97,BRANDROOT GROUP OF COMPANIES (PTY) LTD,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
98,CONQUEST CHEMICALS,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
99,KROONSTAD TREKKER DIENSTE CC,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
100,LESEDI CIVIL CONSTRUCTION,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
101,MAPHUTHU HOLDINGS,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
102,MOTSE CONSULTANCY,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
103,POPZITO TRADING (PTY) LTD,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
104,REGONE TRADERS (PTY)LTD,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
105,TEHOSI SUPPLY AND HIRE OF PLANT AND EQUIPMENT,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
106,THOMSENS BREAKDOWN SERVICES,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
107,TLOTLO MANQOBA SOLUTIONS (PTY) LTD,7,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
108,BLACK BIRD TRADING 206 CC,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
109,BODIRELWA (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
110,CONLWAZI TRADING ENTERPRISE,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
111,IMPALA PANEL BEATERS,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
112,KE TIRO TRADING AND PROJECTS (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
113,KHANYAENTLE TRADING ENTERPRISE (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
114,LEPHENE PROJECTS (PTY)LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
115,LUHAMBO SOLUTIONS(PTY)LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
116,MOTSWA-IKE ENTERPRISE (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
117,NDABAMBI TRADING ENTERPRISE (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
118,PJ SEBOTHE ENTERPRISE,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
119,TECH-ONTECHOFF (PTY) LTD,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
120,ULTRA SOLUTIONS,6,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
121,ACTOM (PTY) LTD,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
122,ALDPREC (PTY)LTD,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
123,BIG 2 CIVILS TA UD TRU CKS GBS,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
124,BOKA-IPELO GEUST HOUSE,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
125,GIZABO IT SOLUTIONS CC,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
126,GOVERNMENT PRINTING WORKS - PRETORIA,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
127,KWALTA PAINTS,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
128,LEBEOANA CONSTRUCTION AND GENERAL SUPPLIERS,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
129,MZWANTZI TRADING ENTERPRISE,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
130,RAMLAS HOLDINGS (PTY) LTD,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
131,SIBONGILE MASHIYA (PTY) LTD,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
132,T.J.T.K. TRADING ENTERPRISE,5,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
133,ACTOM  PROTECTION AND CONTROL,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
134,BONAFIDE AFRICA CONSULTING,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
135,CITY AUTO TRIMMERS,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
136,CREATIVE CRICKET MANAGEMENT CC,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
137,DONGAS ENTERPRISE COOPERATION (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
138,GAME STORES,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
139,IAN DICKIE & CO,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
140,LEANOLELEAGO,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
141,LISEBO HOLDING,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
142,MAMOTSHABI BUSINESS SOLUTION,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
143,MASANA TRADING ENTRPRISE (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
144,MOEMEDI CREATIONS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
145,MOILOA VORTEX SOLUTIONS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
146,MRATOS 4664 CONSTRUCTION AND PROJECTS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
147,MULTI CRANES AND PLATFORMS,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
148,NL SUPPLIERS AND PROJECTS,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
149,NOEMIA TRADING,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
150,NOKHAYA SECURITY SOLUTIONS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
151,NOZIZWEBUSINESS SOLUTIONS,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
152,NTT NISSAN KLERKSDORP,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
153,PAKANG TRADING (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
154,REDBINDI INVESTMENT (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
155,SETUMILE ADAM (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
156,SUNRISE TRADING ENTERPRISE,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
157,TEFELLO HOLDINGS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
158,THE CALIBRE SHOOTING RANGE,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
159,TLATLAMACHOLLO 78 AND EVENTS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
160,TRUVELO MANUFACTURERS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
161,UPHANDO ELECTRICAL DISTRIBUTION (PTY),4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
162,WALTONS (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
163,YONDELAOVAYO TRADING ENTERPRISE (PTY) LTD,4,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
164,ALU GLASS 2000,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
165,CARPET WORX,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
166,CREATING BUSINESS SOLUTIONS,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
167,EM'N M MARKETING,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
168,GONTSE TRADING ENTERPRISE (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
169,IYEZEE_OF MUCH CONSTRUCTION,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
170,KGOSIETSILE PROJECTS (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
171,KHANYA KUHLETRADING (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
172,KLERKSCALE KLERKSDORP (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
173,LA DINDO (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
174,LEXISNEXIS BUTTERWORTHS (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
175,LIGHT LESEDI TRADING ENTERPRISE (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
176,MAGIDI REVENUE PROTECTION SERVICES (PTY)LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
177,MALATSI A TSHEPO TRADING AND PROJECTS,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
178,MAUPA MANAGE TRADING ENTERPRISE,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
179,MERCYCON CONSTRUCTION AND PROJECTS CC,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
180,MMINI JOHANNES MOOKA,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
181,MOLELEDI CIVILS CC,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
182,MTHATOS TRADING AND PROJECTS (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
183,NATHINTLE TRADING (PTY),3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
184,NWK BEPERK ORKNEY,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
185,QGAPHELA TRADING ENTERPRISE,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
186,SBNLL HOLDINGS,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
187,SHUBA MODUPI TRADING CC TA SMT,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
188,SILVEX 93 CC/KARSTEN PANEELKLOPERS,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
189,SISIPHO GROUP,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
190,TSHOBOTSI E NTLE TRADING,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
191,UMQHELE MBOMA (PTY) LTD,3,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
192,ARESEBETSENG MMOHO TRADING AND PROJECTS,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
193,BATHO BOTLHE,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
194,BOIKANYO BO BONTLE (PTY) LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
195,BOKAMOSO AFRICA SERVICES (PTY)LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
196,BRILLIANT SAFES AND LOCKSMITHS CC,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
197,BUSHIE HOLDINGS,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
198,CHELLES HOLDINGS (PTY) LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
199,DES FONTAINE SPORTS,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
200,DULUX PAINT & PAPER,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
201,EMIN TRADING ENTERPRISE (PTY) LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
202,FANISWA TRADING AND ENTERPRISE (PTY) LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
203,FORMAX STATIONARY & MEDIA (PTY) LTD,2,Supplier List,2023 List of Suppliers.xlsx,xlsx,,,,,,,,,,,,,,,
